age,gender,physical_activity_level,diet_type,bmi,caffeine_intake_mg,water_intake_liters,screen_time_hours,daily_steps,calories_burned,resting_heart_rate,deep_sleep_hours,sleep_quality_score,daily_stress_level,sleep_deviation
56,Female,Low,Healthy,25.1,99.0,1.6,3.9,4731,1697,74.0,1.5,4.0,Low,1.4000000000000004
69,Male,Low,Average,25.8,104.0,2.2,3.9,4440,1377,70.0,2.4,5.3,Low,0.0
46,Male,Low,Average,24.0,188.0,1.4,5.5,5023,1289,72.0,1.9,5.0,Medium,0.1999999999999993
32,Female,Medium,Healthy,25.5,124.0,3.1,9.8,6082,1683,69.0,2.5,3.9,Low,0.5999999999999996
25,Male,Medium,Unhealthy,27.6,142.0,3.1,8.4,8499,1736,66.0,2.5,3.7,Medium,0.40000000000000036
38,Female,Medium,Unhealthy,27.8,111.0,1.5,10.9,6067,1688,69.0,1.3,3.3,Medium,1.2999999999999998
56,Male,High,Healthy,27.9,404.0,3.6,7.4,15299,1968,67.0,1.7,3.3,Low,2.5999999999999996
36,Female,High,Unhealthy,24.4,373.0,3.5,5.1,8250,1289,70.0,1.4,5.2,Low,0.1999999999999993
28,Male,High,Unhealthy,20.7,320.0,2.1,6.9,13548,1550,51.0,1.6,4.4,Medium,0.7999999999999998
28,Female,Medium,Average,30.1,230.0,2.2,11.3,9388,1501,69.0,1.6,3.7,Medium,0.20000000000000018
41,Male,Medium,Average,17.5,68.0,1.3,2.7,9993,1291,50.0,2.1,4.7,Low,0.40000000000000036
53,Male,Low,Healthy,24.7,398.0,2.3,9.8,6114,1426,77.0,1.2,3.8,Medium,0.5
57,Male,Medium,Healthy,29.6,252.0,2.9,2.6,8537,1935,76.0,2.5,5.4,Low,0.5999999999999996
41,Male,Medium,Healthy,19.5,12.0,2.1,9.0,4533,1286,62.0,1.2,3.7,Low,1.7000000000000002
20,Female,Medium,Unhealthy,26.6,62.0,1.1,6.0,4477,1284,72.0,2.3,5.5,Low,0.7999999999999998
39,Male,Medium,Healthy,22.3,10.0,3.1,11.6,5470,1229,64.0,1.8,4.4,Medium,1.7000000000000002
19,Male,Medium,Healthy,23.5,0.0,1.9,8.7,9440,1367,56.0,1.8,4.6,Low,0.09999999999999964
41,Male,Medium,Unhealthy,28.8,258.0,2.0,8.4,5182,1541,77.0,1.9,4.1,Low,1.5
61,Female,Medium,Healthy,25.8,14.0,3.8,4.6,7531,1540,62.0,1.8,5.2,Low,0.09999999999999964
47,Female,Medium,Unhealthy,17.5,86.0,2.8,11.5,7155,1385,55.0,2.0,3.2,Medium,1.0999999999999996
55,Male,High,Average,21.1,205.0,1.9,14.0,15082,1539,51.0,0.8,1.5,Medium,2.9000000000000004
19,Male,High,Healthy,28.9,171.0,1.5,12.0,16145,2268,63.0,2.2,3.7,Medium,1.7000000000000002
38,Male,Medium,Healthy,26.8,92.0,3.3,4.5,8189,1719,67.0,1.3,5.1,Low,0.5999999999999996
50,Male,Low,Average,32.0,427.0,3.2,6.5,5202,2085,82.0,1.6,4.4,High,1.7999999999999998
29,Female,High,Unhealthy,31.7,0.0,2.1,4.0,10698,1942,68.0,1.7,5.1,Low,0.1999999999999993
39,Female,Low,Unhealthy,23.6,0.0,1.5,5.5,5531,1238,63.0,1.8,4.5,Medium,0.09999999999999964
