iter	TotalF1	MultiClass
0	0.4975188202	1.699233779
1	0.5745659439	1.610602001
2	0.6168632236	1.52130488
3	0.6505796508	1.448845831
4	0.6742337803	1.38897632
5	0.6825571624	1.344673375
6	0.6875712708	1.296906282
7	0.7000450495	1.247587579
8	0.702376584	1.209987845
9	0.7061095925	1.173741662
10	0.7116875497	1.144525343
11	0.7160989236	1.115768242
12	0.7296214712	1.086227787
13	0.7412575142	1.056818049
14	0.7530755355	1.033883049
15	0.7504453107	1.017054381
16	0.762001981	0.9923321963
17	0.7676172492	0.9749865633
18	0.7706875101	0.9542091919
19	0.7746228081	0.931158551
20	0.7789407409	0.9162976888
21	0.775234844	0.9036287783
22	0.7797244151	0.8906865319
23	0.7838166451	0.8758442632
24	0.7879824652	0.8623640051
25	0.7880728958	0.8503219791
26	0.7893716835	0.8394074514
27	0.7924631723	0.8307204097
28	0.7942481013	0.8188224422
29	0.7934828251	0.8043814276
30	0.7968204648	0.7919812311
31	0.7993744011	0.7819565103
32	0.8040881763	0.7687841408
33	0.8057450812	0.7580457796
34	0.8106842349	0.7484909713
35	0.8139130241	0.7413129998
36	0.8123257803	0.7338340207
37	0.815375362	0.7274976996
38	0.8144096524	0.7194658855
39	0.8143912642	0.7110988435
40	0.8133401687	0.7030711623
41	0.8148690353	0.6957634892
42	0.8176872842	0.6882056428
43	0.8194915395	0.6808988685
44	0.8225406517	0.6754295593
45	0.8218239266	0.669690786
46	0.8227267462	0.6651843485
47	0.8238532137	0.6580269387
48	0.8301804162	0.6507164323
49	0.8271764666	0.6439514483
50	0.8256773387	0.6375797873
51	0.8272200495	0.6327455412
52	0.8282057547	0.6276548301
53	0.8321451605	0.6210214773
54	0.8358800282	0.6163717659
55	0.8325935436	0.6111860778
56	0.8351738927	0.6049179527
57	0.8388510316	0.5985084757
58	0.8403606283	0.5929266798
59	0.8398586268	0.5887059087
60	0.8409236807	0.5840198814
61	0.8423892624	0.5765729655
62	0.8438379219	0.5716434292
63	0.8430200872	0.5693161284
64	0.843473985	0.5651573338
65	0.8438459931	0.5600472229
66	0.8502318899	0.5551017296
67	0.8489599026	0.5497389796
68	0.8495089708	0.5457142287
69	0.8495155593	0.5420989805
70	0.8506258147	0.5377267591
71	0.8506220803	0.5344986965
72	0.8510700551	0.5314840846
73	0.8536470133	0.5286230044
74	0.8550403075	0.5249943787
75	0.8569495119	0.5200831115
76	0.8595927065	0.5165123913
77	0.8619144071	0.5133713361
78	0.8640952955	0.5101789213
79	0.8611467121	0.5058011496
80	0.8665050062	0.5029582925
81	0.8654538714	0.4985455832
82	0.8659856906	0.4953961212
83	0.8655060757	0.493490052
84	0.8659856906	0.490538651
85	0.8669462411	0.4878401744
86	0.8669529425	0.4843879629
87	0.8660733277	0.481666602
88	0.8670427685	0.4774255415
89	0.8700477002	0.4738996039
90	0.8700322199	0.4710619142
91	0.868999325	0.4671715819
92	0.8704981535	0.4648090075
93	0.873477359	0.4622708627
94	0.8744748513	0.4592935068
95	0.8768385763	0.4562910609
96	0.8772872915	0.4556700392
97	0.8782745974	0.4531005537
98	0.8786721055	0.4505098435
99	0.8816391798	0.4476992603
100	0.881135212	0.445519629
101	0.880277713	0.4423762457
102	0.8802388263	0.4407880218
103	0.8812397381	0.4385138553
104	0.8807384577	0.4363327801
105	0.8812455375	0.4332870329
106	0.8822660328	0.430992531
107	0.8856863514	0.4288295077
108	0.8843095589	0.4260807191
109	0.8867819043	0.4228444111
110	0.8862856268	0.4219318347
111	0.8867723041	0.4203338457
112	0.8877611847	0.4180024662
113	0.8882836513	0.4163568064
114	0.8901743502	0.4149459045
115	0.8910705314	0.4120744589
116	0.8920221668	0.4099183285
117	0.8925471032	0.4094615757
118	0.8911513571	0.4079562448
119	0.8954198359	0.4051607243
120	0.8968178364	0.4029811264
121	0.8972839542	0.4005971521
122	0.8958485698	0.3997076337
123	0.8982404828	0.3978614135
124	0.8992072197	0.3950168738
125	0.9000930467	0.3931959964
126	0.901542678	0.3907520357
127	0.9006401256	0.3879652581
128	0.9015237814	0.3855720032
129	0.9010661268	0.3839632354
130	0.9006299132	0.3822719745
131	0.9019968331	0.3799349146
132	0.9019968331	0.3777995069
133	0.9024532258	0.3745764108
134	0.9016161336	0.3721578766
135	0.9006823248	0.3710668956
136	0.9001921091	0.3694488715
137	0.9016033644	0.3678721526
138	0.9015382443	0.3658100288
139	0.9024921901	0.3648598204
140	0.902534681	0.3631761779
141	0.9047560223	0.3612049721
142	0.9057200298	0.3595985566
143	0.9053653913	0.3577505721
144	0.9053653913	0.3571005911
145	0.9049255442	0.3553852435
146	0.908542552	0.3538814681
147	0.9077103433	0.3526196857
148	0.9086708489	0.3514099573
149	0.9117575457	0.3495828352
150	0.9122461881	0.3478994514
151	0.9122461881	0.3468773102
152	0.9139876699	0.3462432358
153	0.9134657807	0.344656914
154	0.9171127127	0.3434343956
155	0.9175577906	0.3411953075
156	0.9180348473	0.3393588093
157	0.9185248312	0.3379067646
158	0.9175445759	0.3363052903
159	0.9160719812	0.3348934788
160	0.9160719812	0.334724759
161	0.9170993844	0.3330413882
162	0.9175445759	0.3318895486
163	0.9180348473	0.3312112473
164	0.9218222211	0.3291334521
165	0.9213879751	0.3273727381
166	0.9208732243	0.3261146389
167	0.9208732243	0.3258473104
168	0.9213598273	0.3253271881
169	0.9208732243	0.3237892171
170	0.9218341466	0.3229286071
171	0.9223475942	0.3218517953
172	0.9233051308	0.320086301
173	0.9233051308	0.3193387309
174	0.924259111	0.3182214009
175	0.9251888552	0.3161270726
176	0.9251888552	0.3154291469
177	0.9242329257	0.3146038783
178	0.923747887	0.3142681202
179	0.9247017779	0.3129792252
180	0.9251865723	0.3122448705
181	0.9247177202	0.31142731
182	0.9251738009	0.3102762308
183	0.9269852433	0.3088420541
184	0.927919207	0.3068476293
185	0.9269449127	0.3059677187
186	0.9284020019	0.3052062826
187	0.9294008242	0.3040375098
188	0.9298462896	0.3031187794
189	0.9312503173	0.3017925962
190	0.9321633175	0.3000079039
191	0.9321633175	0.2990430483
192	0.9321534366	0.2983740227
193	0.9325972786	0.2970218656
194	0.9325972786	0.2964082716
195	0.93304094	0.2952298899
196	0.9330763169	0.294129956
197	0.9339990039	0.2935930444
198	0.934463681	0.2926938633
199	0.934463681	0.2919461026
200	0.934463681	0.2913880592
201	0.9349322481	0.2904015941
202	0.934463681	0.2892993491
203	0.9353495275	0.2885499092
204	0.9353550616	0.2873256873
205	0.9354006126	0.2862452136
206	0.9349322481	0.2849093308
207	0.935891641	0.2841621367
208	0.9363803316	0.2830999476
209	0.9359130092	0.2819730677
210	0.9363559847	0.2815810311
211	0.9358882834	0.2800437834
212	0.9367987853	0.2791617757
213	0.9372839113	0.2783579739
214	0.9377515921	0.2775948404
215	0.9396197338	0.2767788221
216	0.9396197338	0.2766997818
217	0.9395978676	0.2758584527
218	0.9395978676	0.2744536454
219	0.9395978676	0.2740750533
220	0.9395766064	0.2726322184
221	0.9400622158	0.2720818624
222	0.9405148642	0.2708748208
223	0.940050494	0.2691659979
224	0.9405269526	0.2687338348
225	0.9405269526	0.2678915875
226	0.9414505719	0.2666625786
227	0.9414406245	0.2651334305
228	0.9423360886	0.2644952951
229	0.9423660176	0.2640345725
230	0.9428422097	0.2630878936
231	0.9441793709	0.2620157725
232	0.9441793709	0.2616083376
233	0.9455321234	0.2603214132
234	0.9464017828	0.2596533281
235	0.9477477047	0.2585066358
236	0.9477642046	0.2576876226
237	0.9482131273	0.256986356
238	0.94775647	0.2565615058
239	0.9486894411	0.2560332373
240	0.9491280984	0.2551574948
241	0.9495666361	0.2542541608
242	0.9495666361	0.2531851445
243	0.9482399771	0.2526203719
244	0.9482399771	0.2518273473
245	0.9491280984	0.2510415711
246	0.9500050588	0.2507656739
247	0.950050324	0.2495697598
248	0.9495860732	0.2487241727
249	0.9500676245	0.2477196948
250	0.9491553416	0.2463824906
251	0.9496194446	0.245988573
252	0.9496194446	0.2455056625
253	0.9500212858	0.2449427464
254	0.9509716711	0.2443165015
255	0.9536779479	0.2432288276
256	0.9546042093	0.2424042692
257	0.9541584651	0.2415525073
258	0.9550669379	0.2406308727
259	0.9550669379	0.239912305
260	0.9546042093	0.2388773491
261	0.9550323707	0.2382802426
262	0.9554953846	0.2379917702
263	0.9559757254	0.2373930596
264	0.9568748082	0.2370518535
265	0.9573077822	0.2360830832
266	0.957293487	0.2349086813
267	0.9577295188	0.2343812565
268	0.9568573707	0.2337800976
269	0.9568748082	0.2330265652
270	0.9573116686	0.2326334173
271	0.9586281509	0.2319748547
272	0.9590641467	0.2314687322
273	0.9590641467	0.2310816612
274	0.959512158	0.2307455605
275	0.9595632339	0.2295991496
276	0.9590842517	0.2289956816
277	0.9591230398	0.2283267805
278	0.9595467545	0.2276445755
279	0.9604499603	0.2269327429
280	0.9604866511	0.2262369748
281	0.9604587402	0.2253789011
282	0.9609028276	0.2242657376
