iter	Passed	Remaining
0	3	3596
1	6	3321
2	11	3662
3	17	4246
4	23	4633
5	28	4755
6	34	4923
7	38	4801
8	41	4582
9	47	4711
10	50	4535
11	53	4412
12	56	4287
13	58	4148
14	61	4044
15	64	3945
16	66	3850
17	69	3765
18	71	3693
19	74	3640
20	76	3581
21	79	3531
22	81	3480
23	84	3431
24	86	3390
25	89	3350
26	92	3315
27	95	3302
28	98	3292
29	100	3257
30	103	3229
31	105	3203
32	108	3179
33	110	3151
34	113	3127
35	115	3102
36	118	3081
37	120	3059
38	123	3039
39	125	3017
40	128	3000
41	130	2980
42	133	2963
43	135	2945
44	137	2927
45	140	2911
46	142	2895
47	145	2884
48	147	2869
49	150	2860
50	153	2847
51	155	2834
52	157	2820
53	160	2809
54	162	2799
55	165	2787
56	167	2776
57	170	2765
58	172	2755
59	175	2746
60	177	2735
61	180	2725
62	182	2716
63	185	2708
64	187	2703
65	190	2692
66	192	2686
67	195	2677
68	198	2683
69	201	2674
70	204	2669
71	206	2667
72	209	2663
73	212	2665
74	215	2658
75	218	2653
76	221	2652
77	223	2647
78	226	2638
79	228	2630
80	231	2621
81	233	2614
82	235	2606
83	238	2600
84	241	2594
85	243	2587
86	245	2580
87	248	2573
88	251	2569
89	253	2562
90	255	2554
91	258	2553
92	261	2547
93	263	2541
94	266	2535
95	268	2530
96	271	2526
97	274	2523
98	276	2519
99	279	2513
100	281	2507
101	284	2502
102	287	2499
103	289	2493
104	292	2491
105	294	2485
106	297	2479
107	299	2475
108	302	2470
109	304	2467
110	307	2464
111	310	2462
112	313	2457
113	316	2461
114	319	2455
115	321	2451
116	324	2446
117	326	2442
118	329	2438
119	331	2433
120	334	2428
121	336	2423
122	339	2419
123	341	2414
124	344	2409
125	346	2405
126	349	2399
127	351	2395
128	354	2390
129	356	2386
130	359	2381
131	361	2376
132	363	2371
133	366	2366
134	368	2361
135	371	2357
136	373	2352
137	375	2347
138	378	2343
139	380	2338
140	383	2333
141	385	2330
142	388	2325
143	390	2321
144	393	2317
145	395	2313
146	398	2309
147	400	2305
148	402	2301
149	405	2300
150	408	2296
151	410	2292
152	413	2287
153	415	2284
154	418	2279
155	420	2275
156	423	2271
157	425	2267
158	427	2263
159	430	2258
160	432	2254
161	435	2250
162	437	2247
163	440	2243
164	442	2239
165	445	2236
166	447	2233
167	450	2228
168	452	2225
169	455	2222
170	457	2218
171	460	2214
172	462	2211
173	464	2207
174	467	2203
175	469	2199
176	472	2195
177	474	2191
178	476	2187
179	479	2186
180	482	2182
181	484	2178
182	487	2175
183	489	2171
184	492	2169
185	495	2167
186	497	2164
187	500	2161
188	502	2158
189	505	2156
190	508	2153
191	511	2151
192	513	2147
193	516	2144
194	518	2141
195	521	2138
196	523	2134
197	526	2131
198	528	2128
199	531	2124
200	534	2123
201	536	2120
202	539	2117
203	541	2113
204	544	2110
205	546	2107
206	549	2104
207	551	2101
208	554	2098
209	556	2094
210	559	2091
211	561	2088
212	564	2085
213	566	2082
214	569	2078
215	571	2074
216	573	2070
217	576	2068
218	578	2064
219	581	2062
220	584	2058
221	586	2055
222	589	2052
223	591	2049
224	594	2046
225	596	2043
226	599	2040
227	601	2037
228	604	2035
229	606	2031
230	609	2028
231	611	2025
232	614	2022
233	616	2019
234	619	2016
235	622	2014
236	624	2011
237	627	2009
238	630	2006
239	632	2002
240	635	2000
241	637	1997
242	640	1995
243	642	1992
244	645	1989
245	648	1986
246	649	1980
247	652	1977
248	654	1973
249	656	1970
250	659	1968
251	661	1964
252	664	1962
253	667	1959
254	669	1957
255	672	1954
256	674	1951
257	677	1948
258	679	1945
259	682	1942
260	685	1939
261	687	1936
262	689	1933
263	692	1930
264	694	1927
265	697	1924
266	700	1922
267	702	1919
268	705	1918
269	708	1916
270	711	1913
271	713	1910
272	716	1907
273	718	1904
274	721	1901
275	724	1899
276	726	1896
277	729	1894
278	733	1894
279	735	1892
280	738	1889
281	741	1887
282	743	1884
283	746	1882
284	749	1880
285	752	1879
286	755	1876
287	758	1875
288	761	1872
289	763	1870
290	766	1866
291	768	1863
292	771	1860
293	773	1857
294	776	1855
295	778	1852
296	781	1850
297	784	1847
298	786	1844
299	789	1841
300	791	1838
301	794	1836
302	796	1833
303	799	1830
304	802	1828
305	804	1825
306	807	1822
307	809	1819
308	812	1816
309	814	1813
310	817	1811
311	820	1808
312	822	1806
313	825	1803
314	827	1800
315	830	1797
316	832	1794
317	835	1791
318	837	1788
319	840	1785
320	842	1782
321	845	1779
322	847	1777
323	850	1774
324	852	1771
325	855	1768
326	858	1765
327	860	1763
328	862	1759
329	865	1757
330	867	1754
331	870	1751
332	872	1748
333	875	1745
334	877	1742
335	880	1739
336	882	1736
337	885	1733
338	888	1731
339	890	1728
340	893	1725
341	895	1722
342	897	1720
343	900	1717
344	903	1714
345	905	1712
346	908	1709
347	910	1706
348	913	1703
349	915	1700
350	918	1697
351	920	1694
352	923	1692
353	925	1688
354	927	1685
355	930	1683
356	932	1680
357	935	1677
358	938	1675
359	941	1673
360	943	1670
361	946	1667
362	948	1664
363	950	1661
364	953	1659
365	956	1656
366	958	1653
367	961	1650
368	963	1648
369	966	1645
370	968	1642
371	971	1640
372	974	1637
373	976	1635
374	979	1632
375	982	1630
376	985	1629
377	989	1627
378	992	1625
379	996	1626
380	999	1624
381	1002	1622
382	1006	1620
383	1009	1618
384	1012	1617
385	1015	1615
386	1018	1613
387	1021	1611
388	1024	1609
389	1027	1607
390	1030	1605
391	1033	1603
392	1036	1600
393	1039	1598
394	1042	1596
395	1044	1593
396	1047	1591
397	1050	1588
398	1053	1586
399	1056	1584
400	1058	1581
401	1061	1579
402	1064	1576
403	1067	1574
404	1070	1572
405	1072	1569
406	1075	1567
407	1078	1564
408	1081	1562
409	1084	1560
410	1087	1557
411	1089	1555
412	1092	1553
413	1096	1551
414	1098	1548
415	1101	1546
416	1104	1544
417	1107	1542
418	1110	1539
419	1113	1537
420	1116	1535
421	1119	1532
422	1121	1530
423	1125	1528
424	1127	1525
425	1130	1523
426	1133	1520
427	1136	1518
428	1138	1515
429	1141	1513
430	1144	1510
431	1146	1508
432	1149	1505
433	1152	1502
434	1155	1500
435	1157	1497
436	1160	1494
437	1162	1491
438	1165	1489
439	1168	1486
440	1170	1483
441	1173	1481
442	1175	1478
443	1178	1475
444	1180	1472
445	1183	1469
446	1185	1466
447	1188	1463
448	1190	1461
449	1193	1458
450	1195	1455
451	1198	1452
452	1201	1450
453	1203	1447
454	1206	1444
455	1208	1441
456	1210	1438
457	1213	1436
458	1216	1433
459	1218	1430
460	1221	1427
461	1223	1424
462	1226	1422
463	1228	1419
464	1231	1416
465	1234	1414
466	1237	1412
467	1239	1409
468	1242	1407
469	1245	1404
470	1248	1401
471	1250	1398
472	1252	1395
473	1255	1393
474	1257	1390
475	1261	1388
476	1263	1385
477	1266	1382
478	1268	1380
479	1271	1377
480	1274	1374
481	1276	1372
482	1279	1369
483	1281	1366
484	1284	1364
485	1287	1361
486	1289	1358
487	1292	1355
488	1294	1352
489	1297	1350
490	1299	1347
491	1302	1344
492	1305	1342
493	1307	1339
494	1310	1336
495	1312	1333
496	1315	1330
497	1317	1328
498	1320	1325
499	1322	1322
500	1325	1319
501	1327	1317
502	1330	1314
503	1332	1311
504	1335	1308
505	1337	1306
506	1340	1303
507	1342	1300
508	1345	1297
509	1347	1294
510	1350	1292
511	1352	1289
512	1355	1286
